No.,tweet,Prompt,generated annotations,explanation
11,"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Positive,The tweet advertises the sale of couches at low prices
12,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet warns about counterfeit masks being sold at cheap prices
13,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet talks about panic food buying in Germany due to coronavirus fears
14,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet talks about the shortage of cleaning supplies due to coronavirus fears
15,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet talks about the nomination of a chemical-industry lobbyist to head the Consumer Product Safety Commission during the coronavirus outbreak
16,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet complains about SpiceJet not providing free seats for web check-in customers
17,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Positive,The tweet asks restaurants and hotels about the precautionary measures they are taking against the coronavirus
18,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Positive,The tweet encourages people to buy extra food and supplies for their local food bank during the coronavirus pandemic
19,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet predicts that the supply chain recovery from the coronavirus pandemic will take longer than a week
20,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz","Please analyze the sentiment of the above tweets and annotate it using the following labels: ['Positive', 'Extremely positive', 'Negative', 'Extremely Negative']
 i.e. you have to assign any label from these labels to each tweet, by reading that tweet and analyzing it and the most related label you think is, give it to that tweet, you have to give me your answer in the following format:

""tweet number/label given to the corresponding number tweet/reason why you gave this label to this tweet.""

see this few examples to understand the format more:
""1/Positive/because this tweet conveys positive message.""
""2/Negative/because negative language is used in tweet.""
above is only the examples to show you format, you have to give me your result in this format",Negative,The tweet talks about the survival of the coronavirus on hard surfaces for up to nine days
